med_brand,med_name,med_batch,med_dose,med_dose_unit,med_expiry,med_par,med_stock,med_unitprice,med_boxQ,med_dosage_form,med_flag
PharmaCo,Metformin,7958,395.46,ml,2026-09-19,238,874,29,27,capsule,True
WellnessInc,Paracetamol,9855,463.38,Kg,2026-05-17,429,168,50,61,syrup,True
MediLife,Paracetamol,6364,49.7,g,2026-06-18,354,800,66,42,tablet,True
WellnessInc,Ibuprofen,4076,450.59,mg,2027-02-01,375,258,24,51,injection,True
HealthCorp,Ciprofloxacin,3505,163.29,g,2026-06-04,181,216,59,40,cream,True
WellnessInc,Amoxicillin,3967,10.83,ml,2028-06-20,454,17,70,28,injection,False
MediLife,Amoxicillin,4368,411.5,mg,2028-10-27,392,192,80,76,capsule,True
PharmaCo,Ibuprofen,7009,94.61,Kg,2028-12-12,129,791,33,65,syrup,False
PharmaCo,Ciprofloxacin,8349,150.63,ml,2029-06-13,282,411,11,17,cream,False
CurePlus,Paracetamol,6704,400.68,g,2027-12-29,198,727,87,20,cream,False
HealthCorp,Paracetamol,1136,128.16,g,2028-05-26,463,489,89,52,tablet,True
CurePlus,Ibuprofen,4213,43.68,mg,2025-11-01,378,583,73,27,cream,False
PharmaCo,Paracetamol,2204,354.57,ml,2026-08-29,452,963,18,56,syrup,True
MediLife,Ibuprofen,9699,174.14,Kg,2025-12-23,316,717,9,60,injection,True
PharmaCo,Ibuprofen,4658,141.93,mg,2027-04-22,443,6,12,11,cream,True
MediLife,Metformin,2817,258.83,g,2027-09-08,369,855,52,8,syrup,False
CurePlus,Ibuprofen,9782,303.62,ml,2029-05-23,159,485,55,30,cream,False
HealthCorp,Paracetamol,2685,241.26,mg,2027-05-06,422,954,94,13,cream,True
PharmaCo,Paracetamol,1975,9.2,ml,2028-01-16,411,116,58,88,injection,True
CurePlus,Ciprofloxacin,1219,476.54,g,2029-06-26,54,581,10,39,capsule,False
MediLife,Amoxicillin,9820,278.88,g,2026-06-18,73,866,3,11,capsule,True
WellnessInc,Ciprofloxacin,9216,136.02,ml,2026-01-01,389,567,95,57,injection,True
PharmaCo,Ciprofloxacin,8057,412.45,ml,2026-03-25,420,534,81,48,cream,True
CurePlus,Paracetamol,2756,123.68,mg,2029-04-15,132,177,84,86,capsule,False
WellnessInc,Paracetamol,7293,398.29,mg,2026-11-10,489,993,85,78,syrup,False
PharmaCo,Ibuprofen,9763,335.04,ml,2027-12-18,284,809,82,91,syrup,True
PharmaCo,Amoxicillin,2391,146.81,ml,2028-06-07,279,788,64,10,injection,False
WellnessInc,Amoxicillin,9101,397.55,mg,2026-01-10,470,711,17,94,syrup,False
PharmaCo,Metformin,5776,422.0,ml,2027-08-30,242,708,70,20,tablet,False
PharmaCo,Ibuprofen,4726,81.17,mg,2025-12-12,85,449,58,3,capsule,True
MediLife,Ciprofloxacin,2143,362.12,ml,2028-02-02,134,300,78,12,injection,False
HealthCorp,Paracetamol,9768,238.93,g,2029-05-30,470,25,62,25,cream,True
HealthCorp,Metformin,2117,197.92,g,2026-12-29,89,115,12,62,tablet,False
HealthCorp,Amoxicillin,3622,368.18,g,2027-06-24,33,203,6,87,tablet,True
WellnessInc,Amoxicillin,5205,234.64,ml,2027-06-03,340,886,36,22,tablet,True
MediLife,Metformin,9616,331.59,mg,2025-12-17,439,977,60,92,tablet,True
MediLife,Paracetamol,6019,305.07,ml,2029-06-21,17,289,26,29,capsule,True
WellnessInc,Metformin,3804,328.33,g,2026-12-11,325,425,75,73,capsule,True
CurePlus,Metformin,2859,340.27,Kg,2028-07-08,203,443,54,68,tablet,False
HealthCorp,Ciprofloxacin,6773,208.33,mg,2026-10-18,236,965,96,39,tablet,False
HealthCorp,Paracetamol,8868,420.65,ml,2027-09-08,457,950,89,27,cream,True
PharmaCo,Ciprofloxacin,5328,382.93,mg,2028-01-13,221,178,92,97,tablet,True
PharmaCo,Paracetamol,4199,247.17,ml,2028-06-29,374,890,44,40,tablet,True
PharmaCo,Paracetamol,9765,144.51,ml,2029-01-22,166,500,54,90,syrup,False
CurePlus,Ibuprofen,7656,494.68,mg,2026-10-06,372,255,68,19,injection,True
WellnessInc,Ibuprofen,6139,361.19,mg,2027-12-28,500,756,27,83,cream,False
CurePlus,Metformin,2862,298.58,mg,2027-10-12,305,900,61,9,injection,True
CurePlus,Paracetamol,6428,8.11,mg,2028-10-29,237,1000,19,12,syrup,True
WellnessInc,Ciprofloxacin,4772,379.74,g,2026-11-06,269,494,89,77,cream,True
HealthCorp,Amoxicillin,9110,124.13,Kg,2026-01-08,107,272,89,74,syrup,False
